symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status,exchange
BTC-USD,LONG,200.0,72853.6,2.0,1773650699367,okx,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00271,197.44,0xc5c2b39f...,-2.76,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00233,169.75,0xa4b50e1a...,-2.04,,,,
,long,,73075.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00229,167.34,0xe6105857...,-2.01,,,,
BTC,LONG,167.34,73075.0,0.00229,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00223,162.47,0x6ba43953...,-2.2,,,,
,long,,72873.0,,2026-03-16T08:45:11.290000,hyperliquid,BTC,0.00213,155.22,0x7b3f7b40...,-1.98,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00201,146.44,0x07179350...,-2.12,,,,
BTC,LONG,145.58,72791.4,0.002,1773650480943,bybit,,,,,,,,,
BTC,LONG,145.55,72774.9,0.002,1773650483443,bybit,,,,,,,,,
BTC,LONG,145.53,72765.0,0.002,1773650482943,bybit,,,,,,,,,
BTC,LONG,131.59,73105.2,0.18,1773650490011,okx,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00178,129.68,0x94ac9db1...,-1.78,,,,
,long,,73077.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00165,120.58,0x62e74307...,-1.46,,,,
BTC,LONG,120.58,73077.0,0.00165,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,116.99,73118.3,0.16,1773650485066,okx,,,,,,,,,
,long,,73072.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.0015,109.61,0xe6105857...,-1.32,,,,
BTC,LONG,109.61,73072.0,0.0015,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,73075.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00147,107.42,0x62e74307...,-1.3,,,,
BTC,LONG,107.42,73075.0,0.00147,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,73080.0,,2026-03-16T08:43:14.288000,hyperliquid,BTC,0.0014,102.31,0x75ce6948...,-1.21,,,,
BTC,LONG,102.31,73080.0,0.0014,1773650594288,hyperliquid,,,,,,,,,hyperliquid
,long,,73075.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00137,100.11,0xe6105857...,-1.2,,,,
BTC,LONG,100.11,73075.0,0.00137,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00112,81.6,0x41ccf57c...,-1.07,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00112,81.6,0x23411bfe...,-1.14,,,,
