symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
,long,,73472.0,,2026-03-16T12:07:45.684801+00:00,,,,hyperliquid,BTC,0.00067,49.226240000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x6d90707fec02a833f0a04a2a7aab8e1c3eaff544
,long,,73472.0,,2026-03-16T12:07:45.686379+00:00,,,,hyperliquid,BTC,0.00067,49.226240000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x6d90707fec02a833f0a04a2a7aab8e1c3eaff544
,long,,73467.0,,2026-03-16T12:11:15.426088+00:00,,,,hyperliquid,BTC,0.00067,49.22289,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,73467.0,,2026-03-16T12:11:15.428888+00:00,,,,hyperliquid,BTC,0.00067,49.22289,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,73427.0,,2026-03-16T12:11:45.545884+00:00,,,,hyperliquid,BTC,0.00067,49.196090000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,73427.0,,2026-03-16T12:11:45.596626+00:00,,,,hyperliquid,BTC,0.00067,49.196090000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,73610.0,,2026-03-16T12:05:45.310605+00:00,,,,hyperliquid,BTC,0.00066,48.5826,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xfcf104006bfff47695c1dc21dad3e9de1e72098e
,long,,73610.0,,2026-03-16T12:05:45.312855+00:00,,,,hyperliquid,BTC,0.00066,48.5826,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xfcf104006bfff47695c1dc21dad3e9de1e72098e
,long,,73567.0,,2026-03-16T12:06:45.571160+00:00,,,,hyperliquid,BTC,0.00066,48.55422,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16
,long,,73567.0,,2026-03-16T12:06:47.747485+00:00,,,,hyperliquid,BTC,0.00066,48.55422,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x9815aec32ff0db5b81241c9d17f187a3b44a0f16
,long,,73549.0,,2026-03-16T12:14:45.600704+00:00,,,,hyperliquid,BTC,0.00066,48.54234,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x2688d3ab9d031e11a0bd4c0fc31e35b4274a23f2
