symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address
,long,,73666.0,,2026-03-16T12:19:15.511169+00:00,hyperliquid,,BTC,0.00067,49.35622,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,73666.0,,2026-03-16T12:19:15.516573+00:00,hyperliquid,,BTC,0.00067,49.35622,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,73665.0,,2026-03-16T12:19:45.770685+00:00,hyperliquid,,BTC,0.00067,49.35555,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x2688d3ab9d031e11a0bd4c0fc31e35b4274a23f2
,long,,73665.0,,2026-03-16T12:19:45.773605+00:00,hyperliquid,,BTC,0.00067,49.35555,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x2688d3ab9d031e11a0bd4c0fc31e35b4274a23f2
,long,,73652.0,,2026-03-16T12:20:45.435461+00:00,hyperliquid,,BTC,0.00067,49.34684,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xb756c89e73c8711a881c009e10f79b1566f80cdb
,long,,73652.0,,2026-03-16T12:20:46.787359+00:00,hyperliquid,,BTC,0.00067,49.34684,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xb756c89e73c8711a881c009e10f79b1566f80cdb
,long,,73609.0,,2026-03-16T12:18:15.665025+00:00,hyperliquid,,BTC,0.00067,49.31803,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xc6ef411a92428ec7f9fc0bc8e84ee3515bfeea7e
,long,,73609.0,,2026-03-16T12:18:15.669130+00:00,hyperliquid,,BTC,0.00067,49.31803,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xc6ef411a92428ec7f9fc0bc8e84ee3515bfeea7e
,long,,73559.0,,2026-03-16T12:14:15.683557+00:00,hyperliquid,,BTC,0.00067,49.284530000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d
,long,,73559.0,,2026-03-16T12:14:17.865340+00:00,hyperliquid,,BTC,0.00067,49.284530000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d
,long,,73530.0,,2026-03-16T12:15:15.997817+00:00,hyperliquid,,BTC,0.00067,49.265100000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b
,long,,73530.0,,2026-03-16T12:15:16.025678+00:00,hyperliquid,,BTC,0.00067,49.265100000000004,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b
,long,,73509.0,,2026-03-16T12:15:45.382135+00:00,hyperliquid,,BTC,0.00067,49.25103,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x5bcbbb10358ddb623593e51f499568ea54c2aeed
,long,,73509.0,,2026-03-16T12:15:45.384533+00:00,hyperliquid,,BTC,0.00067,49.25103,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x5bcbbb10358ddb623593e51f499568ea54c2aeed
,long,,73489.0,,2026-03-16T12:12:45.344692+00:00,hyperliquid,,BTC,0.00067,49.23763,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xb668858ff53322d5511651a2cd92391eb5d60ee3
,long,,73489.0,,2026-03-16T12:12:45.357929+00:00,hyperliquid,,BTC,0.00067,49.23763,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xb668858ff53322d5511651a2cd92391eb5d60ee3
,long,,73477.0,,2026-03-16T12:17:16.415813+00:00,hyperliquid,,BTC,0.00067,49.22959,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f
,long,,73477.0,,2026-03-16T12:17:16.458250+00:00,hyperliquid,,BTC,0.00067,49.22959,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f
,long,,73474.0,,2026-03-16T12:16:45.359885+00:00,hyperliquid,,BTC,0.00067,49.22758,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xbdbe8ad5abd3f3959f0c7332c10f4a156d799b12
,long,,73474.0,,2026-03-16T12:16:47.371886+00:00,hyperliquid,,BTC,0.00067,49.22758,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xbdbe8ad5abd3f3959f0c7332c10f4a156d799b12
,long,,73467.0,,2026-03-16T12:11:15.426088+00:00,hyperliquid,,BTC,0.00067,49.22289,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,73467.0,,2026-03-16T12:11:15.428888+00:00,hyperliquid,,BTC,0.00067,49.22289,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6
,long,,73427.0,,2026-03-16T12:11:45.545884+00:00,hyperliquid,,BTC,0.00067,49.196090000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,73427.0,,2026-03-16T12:11:45.596626+00:00,hyperliquid,,BTC,0.00067,49.196090000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,73711.0,,2026-03-16T12:20:15.795433+00:00,hyperliquid,,BTC,0.00066,48.64926,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243
,long,,73711.0,,2026-03-16T12:20:15.894557+00:00,hyperliquid,,BTC,0.00066,48.64926,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243
,long,,73649.0,,2026-03-16T12:18:44.524996+00:00,hyperliquid,,BTC,0.00066,48.60834,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x56811550b50c940db1f8acfc3341e7a6101660eb
,long,,73649.0,,2026-03-16T12:18:44.710514+00:00,hyperliquid,,BTC,0.00066,48.60834,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x56811550b50c940db1f8acfc3341e7a6101660eb
,long,,73549.0,,2026-03-16T12:14:45.600704+00:00,hyperliquid,,BTC,0.00066,48.54234,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x2688d3ab9d031e11a0bd4c0fc31e35b4274a23f2
