symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
,long,,72601.0,,2026-03-16T00:35:26.929893+00:00,hyperliquid,BTC,0.00424,307.82824,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x6802b4267f7f2bf7003dcf993c51542245b38329,,,
,long,,72511.0,,2026-03-16T00:44:00.519549+00:00,hyperliquid,BTC,0.0042,304.5462,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xc977566f8ef21a8fc2438e458d51626067b6515c,,,
,long,,72511.0,,2026-03-16T00:44:00.536862+00:00,hyperliquid,BTC,0.0042,304.5462,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xc977566f8ef21a8fc2438e458d51626067b6515c,,,
,long,,72502.0,,2026-03-16T00:44:30.566116+00:00,hyperliquid,BTC,0.00417,302.33334,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72502.0,,2026-03-16T00:44:31.621565+00:00,hyperliquid,BTC,0.00417,302.33334,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72629.0,,2026-03-16T00:37:00.315796+00:00,hyperliquid,BTC,0.00404,293.42116,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72629.0,,2026-03-16T00:37:00.315814+00:00,hyperliquid,BTC,0.00404,293.42116,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72618.0,,2026-03-16T00:36:30.284379+00:00,hyperliquid,BTC,0.00395,286.84110000000004,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72618.0,,2026-03-16T00:36:30.287533+00:00,hyperliquid,BTC,0.00395,286.84110000000004,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72551.0,,2026-03-16T00:37:55.593752+00:00,hyperliquid,BTC,0.00394,285.85094,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x44021275ab54ec417f036accb19bdfb188df49d3,,,
