symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
,short,,73517.0,,2026-03-16T11:59:47.325963+00:00,hyperliquid,,BTC,0.00111,81.60387,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73560.0,,2026-03-16T11:57:17.319034+00:00,hyperliquid,,BTC,0.0011,80.91600000000001,0xcd59b5d986d2755bf91d47c4dbe0ca7dd8ed3022,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73560.0,,2026-03-16T11:57:18.492329+00:00,hyperliquid,,BTC,0.0011,80.91600000000001,0xcd59b5d986d2755bf91d47c4dbe0ca7dd8ed3022,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73527.0,,2026-03-16T11:55:48.960049+00:00,hyperliquid,,BTC,0.0011,80.8797,0x47a127f496d001f187ac65fc24852274dc51d080,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73527.0,,2026-03-16T11:55:48.963157+00:00,hyperliquid,,BTC,0.0011,80.8797,0x47a127f496d001f187ac65fc24852274dc51d080,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73527.0,,2026-03-16T11:59:17.322025+00:00,hyperliquid,,BTC,0.0011,80.8797,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73527.0,,2026-03-16T11:59:17.327887+00:00,hyperliquid,,BTC,0.0011,80.8797,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73500.0,,2026-03-16T11:54:48.760801+00:00,hyperliquid,,BTC,0.0011,80.85000000000001,0xcf81649d46ce55007f6efe33d107511c4b3c2b0b,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73527.0,,2026-03-16T11:58:47.669152+00:00,hyperliquid,,BTC,0.00094,69.11538,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73527.0,,2026-03-16T11:58:47.769003+00:00,hyperliquid,,BTC,0.00094,69.11538,0x08b0d04a3771d0302d5a8ef4c728ebe5c63b4974,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73519.0,,2026-03-16T11:55:19.308719+00:00,hyperliquid,,BTC,0.00094,69.10786,0x7e698eea0709e4a0dbbd790fc493d60691801157,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,short,,73519.0,,2026-03-16T11:55:20.364770+00:00,hyperliquid,,BTC,0.00094,69.10786,0x7e698eea0709e4a0dbbd790fc493d60691801157,0xb6df97014a9cd6e40703b6db99dd736c3170e30a,,,
,long,,73628.0,,2026-03-16T12:04:45.435137+00:00,hyperliquid,,BTC,0.00067,49.330760000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x1be5a1135a64783e0494180c0a229b02f3f57973,,,
,long,,73628.0,,2026-03-16T12:04:45.463808+00:00,hyperliquid,,BTC,0.00067,49.330760000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x1be5a1135a64783e0494180c0a229b02f3f57973,,,
,long,,73585.0,,2026-03-16T12:03:45.331516+00:00,hyperliquid,,BTC,0.00067,49.301950000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x4f965bea84add66023e7ef0458111a1a80e50bb7,,,
,long,,73585.0,,2026-03-16T12:03:45.334929+00:00,hyperliquid,,BTC,0.00067,49.301950000000005,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0x4f965bea84add66023e7ef0458111a1a80e50bb7,,,
,long,,73575.0,,2026-03-16T12:02:16.218319+00:00,hyperliquid,,BTC,0.00067,49.29525,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,
,long,,73575.0,,2026-03-16T12:02:17.321410+00:00,hyperliquid,,BTC,0.00067,49.29525,0x8655d3d8a3de5c1008360a4f93e1d8c8dd87dba2,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,,,
