symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address
,short,,71792.0,,2026-03-15T22:17:49.320246+00:00,,,,hyperliquid,,BTC,0.00248,178.04416,0xd86a972c48d8895cd17b0c097264250a9d8bf00e,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71792.0,,2026-03-15T22:17:49.382538+00:00,,,,hyperliquid,,BTC,0.00248,178.04416,0xd86a972c48d8895cd17b0c097264250a9d8bf00e,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71778.0,,2026-03-15T22:18:50.490283+00:00,,,,hyperliquid,,BTC,0.00248,178.00944,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71778.0,,2026-03-15T22:18:51.030604+00:00,,,,hyperliquid,,BTC,0.00248,178.00944,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71759.0,,2026-03-15T22:20:19.357526+00:00,,,,hyperliquid,,BTC,0.00248,177.96232,0xb3a38662575bdf1541013ce987934dba919851ea,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71759.0,,2026-03-15T22:20:20.158929+00:00,,,,hyperliquid,,BTC,0.00248,177.96232,0xb3a38662575bdf1541013ce987934dba919851ea,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71687.0,,2026-03-15T22:16:49.381674+00:00,,,,hyperliquid,,BTC,0.00248,177.78376,0x162cc7c861ebd0c06b3d72319201150482518185,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71687.0,,2026-03-15T22:16:49.447534+00:00,,,,hyperliquid,,BTC,0.00248,177.78376,0x162cc7c861ebd0c06b3d72319201150482518185,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71733.0,,2026-03-15T22:19:20.025111+00:00,,,,hyperliquid,,BTC,0.00247,177.18051,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71733.0,,2026-03-15T22:19:24.585715+00:00,,,,hyperliquid,,BTC,0.00247,177.18051,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71835.0,,2026-03-15T22:18:01.467498+00:00,,,,hyperliquid,,BTC,0.0015,107.7525,0xa04f4bd75abde9db954972bed5451cc37f5dfd76,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71835.0,,2026-03-15T22:18:01.576062+00:00,,,,hyperliquid,,BTC,0.0015,107.7525,0xa04f4bd75abde9db954972bed5451cc37f5dfd76,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71834.0,,2026-03-15T22:18:02.097190+00:00,,,,hyperliquid,,BTC,0.0015,107.751,0xa04f4bd75abde9db954972bed5451cc37f5dfd76,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71834.0,,2026-03-15T22:18:02.105913+00:00,,,,hyperliquid,,BTC,0.0015,107.751,0xa04f4bd75abde9db954972bed5451cc37f5dfd76,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71802.0,,2026-03-15T22:18:20.749723+00:00,,,,hyperliquid,,BTC,0.0015,107.703,0xa04f4bd75abde9db954972bed5451cc37f5dfd76,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71802.0,,2026-03-15T22:18:20.757768+00:00,,,,hyperliquid,,BTC,0.0015,107.703,0xa04f4bd75abde9db954972bed5451cc37f5dfd76,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71801.0,,2026-03-15T22:18:20.750808+00:00,,,,hyperliquid,,BTC,0.00084,60.31284,0xa04f4bd75abde9db954972bed5451cc37f5dfd76,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,short,,71801.0,,2026-03-15T22:18:20.758774+00:00,,,,hyperliquid,,BTC,0.00084,60.31284,0xa04f4bd75abde9db954972bed5451cc37f5dfd76,0xe8e715d222e9684bca78723d12b84f16a3e354c3
,long,,71908.0,,2026-03-15T22:23:36.413097+00:00,,,,hyperliquid,,BTC,0.00082,58.96456,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71908.0,,2026-03-15T22:23:36.735165+00:00,,,,hyperliquid,,BTC,0.00082,58.96456,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71905.0,,2026-03-15T22:23:06.442902+00:00,,,,hyperliquid,,BTC,0.00082,58.9621,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71905.0,,2026-03-15T22:23:06.591585+00:00,,,,hyperliquid,,BTC,0.00082,58.9621,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71899.0,,2026-03-15T22:22:37.437762+00:00,,,,hyperliquid,,BTC,0.00082,58.95718,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71899.0,,2026-03-15T22:22:37.530009+00:00,,,,hyperliquid,,BTC,0.00082,58.95718,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71879.0,,2026-03-15T22:25:06.324721+00:00,,,,hyperliquid,,BTC,0.00082,58.94078,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71879.0,,2026-03-15T22:25:08.270954+00:00,,,,hyperliquid,,BTC,0.00082,58.94078,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71878.0,,2026-03-15T22:24:36.490098+00:00,,,,hyperliquid,,BTC,0.00082,58.93996,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xe3b3482482899b4890ec5a2093cba2a558d0c14f
,long,,71878.0,,2026-03-15T22:24:36.494151+00:00,,,,hyperliquid,,BTC,0.00082,58.93996,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xe3b3482482899b4890ec5a2093cba2a558d0c14f
,long,,71877.0,,2026-03-15T22:21:36.508729+00:00,,,,hyperliquid,,BTC,0.00082,58.93914,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71877.0,,2026-03-15T22:21:36.549025+00:00,,,,hyperliquid,,BTC,0.00082,58.93914,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71864.0,,2026-03-15T22:22:06.433028+00:00,,,,hyperliquid,,BTC,0.00082,58.92848,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480
,long,,71864.0,,2026-03-15T22:22:06.547908+00:00,,,,hyperliquid,,BTC,0.00082,58.92848,0x06507b2d9898689519846f1b8f0e936c6c2ffa30,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480
