symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl
BTC,SHORT,8098.96,73400.0,0.11034,1773631994446,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,8065.32,73448.0,0.10981,1773632009980,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7974.49,73457.0,0.10856,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7904.14,73200.0,0.10798,1773631929840,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7603.92,73824.5,0.103,1773632008944,bybit,,,,,,,,,
BTC,SHORT,7585.579199999999,73646.4,0.103,1773631993103,binance,,LIMIT,73392.0,FILLED,,,,,
BTC,SHORT,7431.79,73473.0,0.10115,1773632015606,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7382.06,73820.6,0.1,1773632008443,bybit,,,,,,,,,
BTC,SHORT,7364.43,73644.3,0.1,1773631969943,bybit,,,,,,,,,
BTC,SHORT,7258.34,73250.0,0.09909,1773631880428,hyperliquid,hyperliquid,,,,,,,,
